BioSample,BioProject,Run Accession,Study
SAMN03197092,PRJNA267549,SRR1655324,roach2015
SAMN03197116,PRJNA267549,SRR1655348,roach2015
SAMN03197121,PRJNA267549,SRR1655353,roach2015
SAMN03197146,PRJNA267549,SRR1655378,roach2015
SAMN03197152,PRJNA267549,SRR1655384,roach2015
SAMN03197192,PRJNA267549,SRR1655424,roach2015
SAMN03197214,PRJNA267549,SRR1655446,roach2015
SAMN03197250,PRJNA267549,SRR1655482,roach2015
SAMN03197284,PRJNA267549,SRR1655516,roach2015
SAMN03197297,PRJNA267549,SRR1655529,roach2015
SAMN03197305,PRJNA267549,SRR1655537,roach2015
SAMN03197310,PRJNA267549,SRR1655542,roach2015
SAMN03197314,PRJNA267549,SRR1655546,roach2015
SAMN03197324,PRJNA267549,SRR1655556,roach2015
SAMN03197325,PRJNA267549,SRR1655557,roach2015
SAMN23424733,PRJNA783264,SRR17662747;SRR17662754,nuesch-inderbinen2022a
SAMN23424741,PRJNA783264,SRR17662728;SRR17662739,nuesch-inderbinen2022a
SAMN29206312,PRJNA850926,SRR19751404,habib2022
SAMN29206313,PRJNA850926,SRR19751403,habib2022
SAMN29206314,PRJNA850926,SRR19751416,habib2022
SAMN29206315,PRJNA850926,SRR19751415,habib2022
SAMN23424744,PRJNA783264,SRR17662736;SRR17662751,nuesch-inderbinen2022a
SAMN03197374,PRJNA267549,SRR1655606,roach2015
SAMN03197379,PRJNA267549,SRR1655611,roach2015
SAMN03197380,PRJNA267549,SRR1655612,roach2015
SAMN03197382,PRJNA267549,SRR1655614,roach2015
SAMEA5128242,PRJEB29922,ERR2929618,hasman2019
SAMN03197383,PRJNA267549,SRR1655615,roach2015
SAMN03197393,PRJNA267549,SRR1655625,roach2015
SAMN03197403,PRJNA267549,SRR1655635,roach2015
SAMN23424746,PRJNA783264,SRR17662749,nuesch-inderbinen2022a
SAMN23424743,PRJNA783264,SRR17662737;SRR17662752,nuesch-inderbinen2022a
SAMN03197406,PRJNA267549,SRR1655638,roach2015
SAMN03197415,PRJNA267549,SRR1655647,roach2015
SAMN29206316,PRJNA850926,SRR19751413,habib2022
SAMN03197418,PRJNA267549,SRR1655650,roach2015
SAMN29206317,PRJNA850926,SRR19751411,habib2022
SAMN23424739,PRJNA783264,SRR17662730;SRR17662741,nuesch-inderbinen2022a
SAMEA5128243,PRJEB29922,ERR2929620,hasman2019
SAMN29206318,PRJNA850926,SRR19751409,habib2022
SAMN03197434,PRJNA267549,SRR1655666,roach2015
SAMN23424735,PRJNA783264,SRR17662742;SRR17662745,nuesch-inderbinen2022a
SAMN03197444,PRJNA267549,SRR1655676,roach2015
SAMN03197445,PRJNA267549,SRR1655677,roach2015
SAMN03197448,PRJNA267549,SRR1655680,roach2015
SAMN03197449,PRJNA267549,SRR1655681,roach2015
SAMN03197450,PRJNA267549,SRR1655682,roach2015
SAMN03197452,PRJNA267549,SRR1655684,roach2015
SAMEA5128247,PRJEB29922,ERR2929591,hasman2019
SAMN23424742,PRJNA783264,SRR17662727;SRR17662738,nuesch-inderbinen2022a
SAMEA5128226,PRJEB29922,ERR2929584,hasman2019
SAMN29206319,PRJNA850926,SRR19751408,habib2022
SAMEA5128250,PRJEB29922,ERR2929587,hasman2019
SAMN29206320,PRJNA850926,SRR19751407,habib2022
SAMN29206321,PRJNA850926,SRR19751406,habib2022
SAMEA5128263,PRJEB29922,ERR2929605,hasman2019
SAMEA5128266,PRJEB29922,ERR2929608,hasman2019
SAMEA5128235,PRJEB29922,ERR2929610,hasman2019
SAMEA5128237,PRJEB29922,ERR2929612,hasman2019
SAMN03197579,PRJNA267549,SRR1655811,roach2015
SAMEA5128239,PRJEB29922,ERR2929615,hasman2019
SAMEA5128240,PRJEB29922,ERR2929616,hasman2019
SAMN03197596,PRJNA267549,SRR1655828,roach2015
SAMN03197603,PRJNA267549,SRR1655835,roach2015
SAMN03197621,PRJNA267549,SRR1655853,roach2015
SAMN03197657,PRJNA267549,SRR1655889,roach2015
SAMN30494099,PRJNA873263,SRR21196277,cabal2022
SAMN30494101,PRJNA873263,SRR21196275,cabal2022
SAMN30494098,PRJNA873263,SRR21196278,cabal2022
SAMN30494100,PRJNA873263,SRR21196276,cabal2022
SAMN30494102,PRJNA873263,SRR21196274,cabal2022
SAMN30494081,PRJNA873263,SRR21196213,cabal2022
SAMN30494082,PRJNA873263,SRR21196212,cabal2022
SAMN30494092,PRJNA873263,SRR21196285,cabal2022
SAMN30494080,PRJNA873263,SRR21196214,cabal2022
SAMN30494079,PRJNA873263,SRR21196215,cabal2022
SAMN30494084,PRJNA873263,SRR21196210,cabal2022
SAMN30494085,PRJNA873263,SRR21196292,cabal2022
SAMN30494093,PRJNA873263,SRR21196284,cabal2022
SAMN30494083,PRJNA873263,SRR21196211,cabal2022
SAMN30494096,PRJNA873263,SRR21196280,cabal2022
SAMN30494094,PRJNA873263,SRR21196283,cabal2022
SAMN30494095,PRJNA873263,SRR21196281,cabal2022
SAMN30494097,PRJNA873263,SRR21196279,cabal2022
SAMN30494088,PRJNA873263,SRR21196289,cabal2022
SAMN30494090,PRJNA873263,SRR21196287,cabal2022
SAMN30494089,PRJNA873263,SRR21196288,cabal2022
SAMN30494091,PRJNA873263,SRR21196286,cabal2022
SAMN30494087,PRJNA873263,SRR21196290,cabal2022
SAMN30494086,PRJNA873263,SRR21196291,cabal2022
SAMN30494077,PRJNA873263,SRR21196217,cabal2022
SAMN30494078,PRJNA873263,SRR21196216,cabal2022
SAMN30494076,PRJNA873263,SRR21196218,cabal2022
SAMN03197729,PRJNA267549,SRR1655961,roach2015
SAMN03197755,PRJNA267549,SRR1655987,roach2015
SAMN03197766,PRJNA267549,SRR1655998,roach2015
SAMN03197767,PRJNA267549,SRR1655999,roach2015
SAMN03197782,PRJNA267549,SRR1656014,roach2015
SAMN03197785,PRJNA267549,SRR1656017,roach2015
SAMN03197801,PRJNA267549,SRR1656033,roach2015
SAMN03197802,PRJNA267549,SRR1656034,roach2015
SAMN03197806,PRJNA267549,SRR1656038,roach2015
SAMN03197811,PRJNA267549,SRR1656043,roach2015
SAMN03197821,PRJNA267549,SRR1656053,roach2015
SAMN23424740,PRJNA783264,SRR17662729;SRR17662740,nuesch-inderbinen2022a
SAMN03197848,PRJNA267549,SRR1656080,roach2015
SAMN23424737,PRJNA783264,SRR17662732;SRR17662743,nuesch-inderbinen2022a
SAMN03197867,PRJNA267549,SRR1656099,roach2015
SAMN03197871,PRJNA267549,SRR1656103,roach2015
SAMN03197873,PRJNA267549,SRR1656105,roach2015
SAMN23424745,PRJNA783264,SRR17662735;SRR17662750,nuesch-inderbinen2022a
SAMN03197881,PRJNA267549,SRR1656113,roach2015
SAMN03197890,PRJNA267549,SRR1656122,roach2015
SAMN23424747,PRJNA783264,SRR17662734;SRR17662748,nuesch-inderbinen2022a
SAMN03197908,PRJNA267549,SRR1656140,roach2015
SAMN23424734,PRJNA783264,SRR17662746;SRR17662753,nuesch-inderbinen2022a
SAMN03197914,PRJNA267549,SRR1656146,roach2015
SAMN03197929,PRJNA267549,SRR1656161,roach2015
SAMN23424736,PRJNA783264,SRR17662733;SRR17662744,nuesch-inderbinen2022a
SAMN03197937,PRJNA267549,SRR1656169,roach2015
SAMN23424738,PRJNA783264,SRR17662731,nuesch-inderbinen2022a
SAMN03197944,PRJNA267549,SRR1656176,roach2015
SAMN03197958,PRJNA267549,SRR1656190,roach2015
SAMN03197961,PRJNA267549,SRR1656193,roach2015
SAMN03198072,PRJNA267549,SRR1656304,roach2015
SAMN03198083,PRJNA267549,SRR1656315,roach2015
SAMN03198085,PRJNA267549,SRR1656317,roach2015
SAMN03198111,PRJNA267549,SRR1656343,roach2015
SAMN03198112,PRJNA267549,SRR1656344,roach2015
SAMN03198135,PRJNA267549,SRR1656367,roach2015
SAMN03198139,PRJNA267549,SRR1656371,roach2015
SAMN03198141,PRJNA267549,SRR1656373,roach2015
SAMN03198168,PRJNA267549,SRR1656400,roach2015
SAMN03198169,PRJNA267549,SRR1656401,roach2015
SAMN03198204,PRJNA267549,SRR1656436,roach2015
SAMN28025447,PRJNA833940,SRR19612301,nuesch-inderbinen2022b
SAMN28025448,PRJNA833940,SRR19612311,nuesch-inderbinen2022b
SAMN28025451,PRJNA833940,SRR19612279,nuesch-inderbinen2022b
SAMN28025452,PRJNA833940,SRR19612268,nuesch-inderbinen2022b
SAMN28025455,PRJNA833940,SRR19612290,nuesch-inderbinen2022b
SAMN28025456,PRJNA833940,SRR19612262,nuesch-inderbinen2022b
SAMN28025457,PRJNA833940,SRR19612260,nuesch-inderbinen2022b
SAMN28025458,PRJNA833940,SRR19612309,nuesch-inderbinen2022b
SAMN28025459,PRJNA833940,SRR19612312,nuesch-inderbinen2022b
SAMN28025460,PRJNA833940,SRR19612313,nuesch-inderbinen2022b
SAMN28025463,PRJNA833940,SRR19612261,nuesch-inderbinen2022b
SAMN28025466,PRJNA833940,SRR19612306,nuesch-inderbinen2022b
SAMN28025467,PRJNA833940,SRR19612305,nuesch-inderbinen2022b
SAMN28025468,PRJNA833940,SRR19612263,nuesch-inderbinen2022b
SAMN15957523,PRJNA630475,SRR12606480,aun2021
SAMN15957524,PRJNA630475,SRR12606479,aun2021
SAMN15957525,PRJNA630475,SRR12606468,aun2021
SAMN15957526,PRJNA630475,SRR12606457,aun2021
SAMN15957527,PRJNA630475,SRR12606446,aun2021
SAMN15957528,PRJNA630475,SRR12606435,aun2021
SAMN15957529,PRJNA630475,SRR12606424,aun2021
SAMN15957530,PRJNA630475,SRR12606413,aun2021
SAMN15957531,PRJNA630475,SRR12606402,aun2021
SAMN15957532,PRJNA630475,SRR12606391,aun2021
SAMN15957533,PRJNA630475,SRR12606478,aun2021
SAMN15957534,PRJNA630475,SRR12606477,aun2021
SAMN15957535,PRJNA630475,SRR12606476,aun2021
SAMN15957536,PRJNA630475,SRR12606475,aun2021
SAMN15957537,PRJNA630475,SRR12606474,aun2021
SAMN15957538,PRJNA630475,SRR12606473,aun2021
SAMN15957539,PRJNA630475,SRR12606472,aun2021
SAMN15957540,PRJNA630475,SRR12606471,aun2021
SAMN15957541,PRJNA630475,SRR12606470,aun2021
SAMN15957542,PRJNA630475,SRR12606469,aun2021
SAMN15957543,PRJNA630475,SRR12606467,aun2021
SAMN15957544,PRJNA630475,SRR12606466,aun2021
SAMEA2157717,PRJEB4344,ERR374846,raven2016a
SAMEA2145156,PRJEB4346,ERR375561,raven2016a
SAMEA2142580,PRJEB4344,ERR375171,raven2016a
SAMEA2160037,PRJEB4345,ERR370014,raven2016a
SAMEA2153296,PRJEB4344,ERR375126,raven2016a
SAMEA2154390,PRJEB4344,ERR375239,raven2016a
SAMEA2154800,PRJEB4344,ERR374802,raven2016a
SAMEA2145536,PRJEB4345,ERR369987,raven2016a
SAMEA2163523,PRJEB4345,ERR388705,raven2016a
SAMEA2146715,PRJEB4344,ERR375020,raven2016a
SAMEA2156772,PRJEB4345,ERR375352,raven2016a
SAMEA2143110,PRJEB4344,ERR375222,raven2016a
SAMEA2147387,PRJEB4344,ERR374699,raven2016a
SAMEA1968970,PRJEB4344,ERR374825,raven2016a
SAMEA2147867,PRJEB4344,ERR374997,raven2016a
SAMEA2149907,PRJEB4344,ERR374758,raven2016a
SAMEA2161444,PRJEB4345,ERR369968,raven2016a
SAMEA2150858,PRJEB4345,ERR370009,raven2016a
SAMEA2156716,PRJEB4344,ERR374932,raven2016a
SAMEA2157840,PRJEB4344,ERR375084,raven2016a
SAMEA2154745,PRJEB4345,ERR369952,raven2016a
SAMEA2142621,PRJEB4345,ERR375336,raven2016a
SAMEA2159149,PRJEB4344,ERR375068,raven2016a
SAMEA2150251,PRJEB4346,ERR375575,raven2016a
SAMEA2160011,PRJEB4345,ERR375368,raven2016a
SAMEA1972688,PRJEB4344,ERR375196,raven2016a
SAMEA2149966,PRJEB4344,ERR374736,raven2016a
SAMEA1967838,PRJEB4345,ERR375293,raven2016a
SAMEA2170849,PRJEB4344,ERR388686,raven2016a
SAMEA2151754,PRJEB4344,ERR374790,raven2016a
SAMEA2147083,PRJEB4344,ERR375045,raven2016a
SAMEA2151382,PRJEB4344,ERR374788,raven2016a
SAMEA2158337,PRJEB4344,ERR375102,raven2016a
SAMEA2157091,PRJEB4345,ERR375338,raven2016a
SAMEA2146490,PRJEB4345,ERR375442,raven2016a
SAMEA2147403,PRJEB4344,ERR374869,raven2016a
SAMEA2151425,PRJEB4344,ERR374900,raven2016a
SAMEA2170858,PRJEB4344,ERR388695,raven2016a
SAMEA2154566,PRJEB4344,ERR375198,raven2016a
SAMEA2142614,PRJEB4344,ERR375104,raven2016a
SAMEA2150155,PRJEB4344,ERR375123,raven2016a
SAMEA2147299,PRJEB4344,ERR375061,raven2016a
SAMEA2154936,PRJEB4344,ERR374717,raven2016a
SAMEA2144659,PRJEB4345,ERR375309,raven2016a
SAMEA2144169,PRJEB4345,ERR388708,raven2016a
SAMEA2153428,PRJEB4345,ERR370016,raven2016a
SAMEA2144168,PRJEB4344,ERR374768,raven2016a
SAMEA2152955,PRJEB4346,ERR375558,raven2016a
SAMEA2146222,PRJEB4345,ERR375424,raven2016a
SAMEA2150184,PRJEB4344,ERR374730,raven2016a
SAMEA2152810,PRJEB4345,ERR375501,raven2016a
SAMEA2152355,PRJEB4345,ERR377475,raven2016a
SAMEA2152995,PRJEB4345,ERR369960,raven2016a
SAMEA2148097,PRJEB4344,ERR375220,raven2016a
SAMEA2155127,PRJEB4345,ERR375454,raven2016a
SAMEA2143885,PRJEB4345,ERR375521,raven2016a
SAMEA2152825,PRJEB4344,ERR375233,raven2016a
SAMEA2162207,PRJEB4344,ERR375110,raven2016a
SAMEA1972446,PRJEB4345,ERR370010,raven2016a
SAMEA2147741,PRJEB4344,ERR375269,raven2016a
SAMEA2148104,PRJEB4344,ERR374839,raven2016a
SAMEA2145411,PRJEB4344,ERR375132,raven2016a
SAMEA2162605,PRJEB4345,ERR369989,raven2016a
SAMEA2142599,PRJEB4344,ERR374712,raven2016a
SAMEA2146567,PRJEB4344,ERR374896,raven2016a
SAMEA2142788,PRJEB4344,ERR374684,raven2016a
SAMEA2159643,PRJEB4344,ERR375166,raven2016a
SAMEA2157682,PRJEB4345,ERR369973,raven2016a
SAMEA2146530,PRJEB4345,ERR377467,raven2016a
SAMEA2148498,PRJEB4344,ERR374980,raven2016a
SAMEA2157999,PRJEB4345,ERR375414,raven2016a
SAMEA2148831,PRJEB4344,ERR375221,raven2016a
SAMEA2146580,PRJEB4345,ERR370026,raven2016a
SAMEA2154070,PRJEB4344,ERR374984,raven2016a
SAMEA2144646,PRJEB4344,ERR375249,raven2016a
SAMEA2158548,PRJEB4344,ERR375181,raven2016a
SAMEA2147604,PRJEB4344,ERR374757,raven2016a
SAMEA2148333,PRJEB4344,ERR374878,raven2016a
SAMEA2151529,PRJEB4344,ERR375004,raven2016a
SAMEA2149473,PRJEB4344,ERR375127,raven2016a
SAMEA2152069,PRJEB4345,ERR369984,raven2016a
SAMEA2144453,PRJEB4345,ERR375416,raven2016a
SAMEA2162491,PRJEB4344,ERR374773,raven2016a
SAMEA2159988,PRJEB4344,ERR375234,raven2016a
SAMEA2146029,PRJEB4344,ERR374667,raven2016a
SAMEA2151637,PRJEB4345,ERR375465,raven2016a
SAMEA2142689,PRJEB4345,ERR375546,raven2016a
SAMEA2153619,PRJEB4344,ERR375225,raven2016a
SAMEA2158==89,PRJEB4345,ERR369942,raven2016a
SAMEA2156874,PRJEB4344,ERR375184,raven2016a
SAMEA2152965,PRJEB4344,ERR375180,raven2016a
SAMEA2155814,PRJEB4345,ERR370027,raven2016a
SAMEA2159861,PRJEB4345,ERR370006,raven2016a
SAMEA2145783,PRJEB4344,ERR375119,raven2016a
SAMEA6595201,PRJEB36950,ERR3959019;ERR3959025,mchugh2022
SAMEA6595201,PRJEB36950,ERR3959019;ERR3959025,mchugh2022
SAMEA6595201,PRJEB36950,ERR3959019;ERR3959025,mchugh2022
SAMEA6595201,PRJEB36950,ERR3959019;ERR3959025,mchugh2022
SAMEA6595202,PRJEB36950,ERR3959020;ERR3959026,mchugh2022
SAMEA6595202,PRJEB36950,ERR3959020;ERR3959026,mchugh2022
SAMEA6595202,PRJEB36950,ERR3959020;ERR3959026,mchugh2022
SAMEA6595202,PRJEB36950,ERR3959020;ERR3959026,mchugh2022
SAMN12082465,PRJNA541552,SRR9321129,holman2021
SAMN18529534,PRJNA541552,SRR14098044,holman2021
SAMN12082466,PRJNA541552,SRR9321128,holman2021
SAMN12082467,PRJNA541552,SRR9321127,holman2021
SAMN12082468,PRJNA541552,SRR9321126,holman2021
SAMN18529533,PRJNA541552,SRR14098045,holman2021
SAMN15690854,PRJNA649986,SRR12377911,chilambi2021
SAMN15690858,PRJNA649986,SRR12377907,chilambi2021
SAMN15690857,PRJNA649986,SRR12377908,chilambi2021
SAMN15690852,PRJNA649986,SRR12377913,chilambi2021
SAMN15690855,PRJNA649986,SRR12377910,chilambi2021
SAMN15690850,PRJNA649986,SRR12377920,chilambi2021
SAMN15690859,PRJNA649986,SRR12377906,chilambi2021
SAMN15690860,PRJNA649986,SRR12377918,chilambi2021
SAMN15690851,PRJNA649986,SRR12377919,chilambi2021
SAMN15690861,PRJNA649986,SRR12377917,chilambi2021
SAMN15690862,PRJNA649986,SRR12377916,chilambi2021
SAMN15690863,PRJNA649986,SRR12377915,chilambi2021
SAMN15690864,PRJNA649986,SRR12377914,chilambi2021
SAMN15690853,PRJNA649986,SRR12377912,chilambi2021
SAMN15690856,PRJNA649986,SRR12377909,chilambi2021
SAMEA21437==8,PRJEB4345,ERR369953,raven2016a
SAMEA2162816,PRJEB4345,ERR369943,raven2016a
SAMEA2147728,PRJEB4345,ERR369949,raven2016a
SAMEA2154847,PRJEB4345,ERR375464,raven2016a
SAMEA2149920,PRJEB4346,ERR375586,raven2016a
SAMEA2161137,PRJEB4345,ERR377511,raven2016a
SAMEA1972329,PRJEB4345,ERR375344,raven2016a
SAMEA2156125,PRJEB4344,ERR374999,raven2016a
SAMEA2153602,PRJEB4344,ERR374935,raven2016a
SAMEA2152566,PRJEB4344,ERR374704,raven2016a
SAMEA2160663,PRJEB4346,ERR375584,raven2016a
SAMEA2145331,PRJEB4345,ERR370002,raven2016a
SAMEA2157625,PRJEB4345,ERR375296,raven2016a
SAMEA2149601,PRJEB4346,ERR375565,raven2016a
SAMEA2151525,PRJEB4345,ERR377482,raven2016a
SAMEA2155448,PRJEB4345,ERR369970,raven2016a
SAMEA2157173,PRJEB4344,ERR374853,raven2016a
SAMEA2154746,PRJEB4344,ERR375098,raven2016a
SAMEA2158180,PRJEB4344,ERR375185,raven2016a
SAMEA2146451,PRJEB4346,ERR375559,raven2016a
SAMEA2160540,PRJEB4344,ERR375212,raven2016a
SAMEA2151877,PRJEB4344,ERR374710,raven2016a
SAMEA2158865,PRJEB4344,ERR375202,raven2016a
SAMEA2148014,PRJEB4344,ERR374960,raven2016a
SAMEA2142897,PRJEB4344,ERR374818,raven2016a
SAMEA2163627,PRJEB4344,ERR375117,raven2016a
SAMEA2158883,PRJEB4344,ERR374946,raven2016a
SAMEA2149965,PRJEB4346,ERR375569,raven2016a
SAMEA2146134,PRJEB4344,ERR374996,raven2016a
SAMEA2160837,PRJEB4345,ERR369961,raven2016a
SAMEA2148771,PRJEB4344,ERR375125,raven2016a
SAMEA2161362,PRJEB4344,ERR374852,raven2016a
SAMEA2161102,PRJEB4344,ERR375065,raven2016a
SAMEA2145973,PRJEB4344,ERR374775,raven2016a
SAMEA2151355,PRJEB4344,ERR374948,raven2016a
SAMEA2163072,PRJEB4344,ERR375141,raven2016a
SAMEA2160386,PRJEB4345,ERR377472,raven2016a
SAMEA1965472,PRJEB4344,ERR375197,raven2016a
SAMEA2152135,PRJEB4344,ERR375186,raven2016a
SAMEA2156623,PRJEB4344,ERR375096,raven2016a
SAMEA2144364,PRJEB4344,ERR374748,raven2016a
SAMEA2146448,PRJEB4344,ERR375242,raven2016a
SAMEA2151920,PRJEB4344,ERR375139,raven2016a
SAMEA2159754,PRJEB4344,ERR374677,raven2016a
SAMEA2152018,PRJEB4344,ERR374795,raven2016a
SAMEA2158365,PRJEB4344,ERR375034,raven2016a
SAMEA2159221,PRJEB4344,ERR374975,raven2016a
SAMEA2145237,PRJEB4345,ERR375438,raven2016a
SAMEA2143678,PRJEB4344,ERR374981,raven2016a
SAMEA2153271,PRJEB4345,ERR375359,raven2016a
SAMEA2143761,PRJEB4345,ERR370017,raven2016a
SAMEA2147924,PRJEB4345,ERR375362,raven2016a
SAMEA2160742,PRJEB4344,ERR374874,raven2016a
SAMEA2145033,PRJEB4344,ERR374985,raven2016a
SAMEA2153742,PRJEB4345,ERR388713,raven2016a
SAMEA2158235,PRJEB4346,ERR375578,raven2016a
SAMEA2157324,PRJEB4345,ERR377513,raven2016a
SAMEA2148159,PRJEB4346,ERR375563,raven2016a
SAMEA2148121,PRJEB4345,ERR369959,raven2016a
SAMEA1972798,PRJEB4345,ERR369994,raven2016a
SAMEA3268912,PRJEB8647,ERR769249,zankari2013
SAMEA3268913,PRJEB8647,ERR769250,zankari2013
SAMEA3268914,PRJEB8647,ERR769251,zankari2013
SAMEA3268915,PRJEB8647,ERR769252,zankari2013
SAMEA3268916,PRJEB8647,ERR769253,zankari2013
SAMEA3268917,PRJEB8647,ERR769254,zankari2013
SAMEA3268918,PRJEB8647,ERR769255,zankari2013
SAMEA3268919,PRJEB8647,ERR769256,zankari2013
SAMEA3268920,PRJEB8647,ERR769257,zankari2013
SAMEA3268921,PRJEB8647,ERR769258,zankari2013
SAMEA3268922,PRJEB8647,ERR769259,zankari2013
SAMEA3268923,PRJEB8647,ERR769260,zankari2013
SAMEA3268924,PRJEB8647,ERR769261,zankari2013
SAMEA3268925,PRJEB8647,ERR769262,zankari2013
SAMEA3268926,PRJEB8647,ERR769263,zankari2013
SAMEA3268927,PRJEB8647,ERR769264,zankari2013
SAMEA3268928,PRJEB8647,ERR769265,zankari2013
SAMEA3268929,PRJEB8647,ERR769266,zankari2013
SAMEA3268930,PRJEB8647,ERR769267,zankari2013
SAMEA3268931,PRJEB8647,ERR769268,zankari2013
SAMEA3268932,PRJEB8647,ERR769269,zankari2013
SAMEA3268933,PRJEB8647,ERR769270,zankari2013
SAMEA3268934,PRJEB8647,ERR769271,zankari2013
SAMEA3268935,PRJEB8647,ERR769272,zankari2013
SAMEA3268936,PRJEB8647,ERR769273,zankari2013
SAMEA3268937,PRJEB8647,ERR769274,zankari2013
SAMEA3268938,PRJEB8647,ERR769275,zankari2013
SAMEA3268939,PRJEB8647,ERR769276,zankari2013
SAMEA3268940,PRJEB8647,ERR769277,zankari2013
SAMEA3268941,PRJEB8647,ERR769278,zankari2013
SAMEA3268942,PRJEB8647,ERR769279,zankari2013
SAMEA3268943,PRJEB8647,ERR769280,zankari2013
SAMEA3268944,PRJEB8647,ERR769281,zankari2013
SAMEA3268945,PRJEB8647,ERR769282,zankari2013
SAMEA3268946,PRJEB8647,ERR769283,zankari2013
SAMEA3268947,PRJEB8647,ERR769284,zankari2013
SAMEA3268948,PRJEB8647,ERR769285,zankari2013
SAMEA3268949,PRJEB8647,ERR769286,zankari2013
SAMEA3268950,PRJEB8647,ERR769287,zankari2013
SAMEA3268951,PRJEB8647,ERR769288,zankari2013
SAMEA3268952,PRJEB8647,ERR769289,zankari2013
SAMEA3268953,PRJEB8647,ERR769290,zankari2013
SAMEA3268954,PRJEB8647,ERR769291,zankari2013
SAMEA3268955,PRJEB8647,ERR769292,zankari2013
SAMEA3268956,PRJEB8647,ERR769293,zankari2013
SAMEA3268957,PRJEB8647,ERR769294,zankari2013
SAMEA3268958,PRJEB8647,ERR769295,zankari2013
SAMEA3268959,PRJEB8647,ERR769296,zankari2013
SAMEA3268960,PRJEB8647,ERR769297,zankari2013
SAMEA3268961,PRJEB8647,ERR769298,zankari2013
SAMN15957545,PRJNA630475,SRR12606465,aun2021
SAMN15957546,PRJNA630475,SRR12606464,aun2021
SAMN15957547,PRJNA630475,SRR12606463,aun2021
SAMN15957548,PRJNA630475,SRR12606462,aun2021
SAMN15957549,PRJNA630475,SRR12606461,aun2021
SAMN15957550,PRJNA630475,SRR12606460,aun2021
SAMN15957551,PRJNA630475,SRR12606459,aun2021
SAMN15957552,PRJNA630475,SRR12606458,aun2021
SAMN15957553,PRJNA630475,SRR12606456,aun2021
SAMN15957554,PRJNA630475,SRR12606455,aun2021
SAMN15957555,PRJNA630475,SRR12606454,aun2021
SAMN15957556,PRJNA630475,SRR12606453,aun2021
SAMN12082469,PRJNA541552,SRR9321133,holman2021
SAMN18529537,PRJNA541552,SRR14098051,holman2021
SAMN12082470,PRJNA541552,SRR9321132,holman2021
SAMN18529538,PRJNA541552,SRR14098050,holman2021
SAMN12082471,PRJNA541552,SRR9321131,holman2021
SAMN18529539,PRJNA541552,SRR14098049,holman2021
SAMN12082472,PRJNA541552,SRR9321130,holman2021
SAMN12082473,PRJNA541552,SRR9321125,holman2021
SAMN12082474,PRJNA541552,SRR9321124,holman2021
SAMN12082475,PRJNA541552,SRR9321137,holman2021
SAMN12082476,PRJNA541552,SRR9321136,holman2021
SAMN18529535,PRJNA541552,SRR14098053,holman2021
SAMN18529536,PRJNA541552,SRR14098052,holman2021
SAMN12082477,PRJNA541552,SRR9321139,holman2021
SAMN18529540,PRJNA541552,SRR14098048,holman2021
SAMN12082480,PRJNA541552,SRR9321140,holman2021
SAMN12082481,PRJNA541552,SRR9321143,holman2021
SAMN12082482,PRJNA541552,SRR9321142,holman2021
SAMN12082483,PRJNA541552,SRR9321135,holman2021
SAMN12082484,PRJNA541552,SRR9321134,holman2021
SAMN12082485,PRJNA541552,SRR9321160,holman2021
SAMN15957557,PRJNA630475,SRR12606452,aun2021
SAMN15957558,PRJNA630475,SRR12606451,aun2021
SAMN15957559,PRJNA630475,SRR12606450,aun2021
SAMN15957560,PRJNA630475,SRR12606449,aun2021
SAMN15957561,PRJNA630475,SRR12606448,aun2021
SAMN15957562,PRJNA630475,SRR12606447,aun2021
SAMN15957563,PRJNA630475,SRR12606445,aun2021
SAMN15957564,PRJNA630475,SRR12606444,aun2021
SAMN15957565,PRJNA630475,SRR12606443,aun2021
SAMN15957566,PRJNA630475,SRR12606442,aun2021
SAMN15957567,PRJNA630475,SRR12606441,aun2021
SAMN15957568,PRJNA630475,SRR12606440,aun2021
SAMN28025469,PRJNA833940,SRR19612307,nuesch-inderbinen2022b
SAMN28025470,PRJNA833940,SRR19612308,nuesch-inderbinen2022b
SAMN28025471,PRJNA833940,SRR19612310,nuesch-inderbinen2022b
SAMN19185855,PRJNA716986,SRR14598104,elzowalaty2023
SAMN19185856,PRJNA716986,SRR14598103,elzowalaty2023
SAMN19185857,PRJNA716986,SRR14598102,elzowalaty2023
SAMN19185858,PRJNA716986,SRR14598101,elzowalaty2023
SAMN19185859,PRJNA716986,SRR14598100,elzowalaty2023
SAMN19185860,PRJNA716986,SRR14598099,elzowalaty2023
SAMN19185861,PRJNA716986,SRR14598098,elzowalaty2023
SAMN19185864,PRJNA716986,SRR14598113,elzowalaty2023
SAMN19185865,PRJNA716986,SRR14598112,elzowalaty2023
SAMN19185866,PRJNA716986,SRR14598111,elzowalaty2023
SAMN19185867,PRJNA716986,SRR14598110,elzowalaty2023
SAMN19185868,PRJNA716986,SRR14598109,elzowalaty2023
SAMN19185870,PRJNA716986,SRR14598107,elzowalaty2023
SAMN19185871,PRJNA716986,SRR14598106,elzowalaty2023
SAMN19185872,PRJNA716986,SRR14598105,elzowalaty2023
SAMN07981901,PRJNA292665,SRR6267863,tyson2018
SAMN07981903,PRJNA292665,SRR6267861,tyson2018
SAMN07981904,PRJNA292665,SRR6267862,tyson2018
