accession	sample_id	biosample	clade	study_id	gentamicin_RIS	gentamicin_DST_method	vancomycin_MIC	vancomycin_RIS	vancomycin_DST_method	ampicillin_MIC	ampicillin_RIS	ampicillin_DST_method	erythromycin_MIC	erythromycin_RIS	erythromycin_DST_method	linezolid_MIC	linezolid_RIS	linezolid_DST_method	tigecycline_MIC	tigecycline_RIS	tigecycline_DST_method	teicoplanin_MIC	teicoplanin_RIS	teicoplanin_DST_method	streptomycin_MIC	streptomycin_RIS	streptomycin_DST_method	ciprofloxacin_MIC	ciprofloxacin_RIS	ciprofloxacin_DST_method	tetracycline_MIC	tetracycline_RIS	tetracycline_DST_method	penicillin_MIC	penicillin_RIS	penicillin_DST_method	levofloxacin_MIC	levofloxacin_RIS	levofloxacin_DST_method	quinupristin-dalfopristin_MIC	quinupristin-dalfopristin_RIS	quinupristin-dalfopristin_DST_method	chloramphenicol_MIC	chloramphenicol_RIS	chloramphenicol_DST_method	trimethoprim_MIC	trimethoprim_RIS	trimethoprim_DST_method	kanamycin_RIS	kanamycin_DST_method	nitrofurantoin_MIC	nitrofurantoin_RIS	nitrofurantoin_DST_method	doxycycline_MIC	doxycycline_RIS	doxycycline_DST_method	rifampin_MIC	rifampin_RIS	rifampin_DST_method	clindamycin_MIC	clindamycin_RIS	clindamycin_DST_method	oxacillin_MIC	oxacillin_RIS	oxacillin_DST_method	amikacin_MIC	amikacin_RIS	amikacin_DST_method	trimethoprim-sulfamethoxazole_MIC	trimethoprim-sulfamethoxazole_RIS	trimethoprim-sulfamethoxazole_DST_method	florfenicol_MIC	florfenicol_RIS	florfenicol_DST_method	tedizolid_MIC	tedizolid_RIS	tedizolid_DST_method	daptomycin_MIC	daptomycin_RIS	daptomycin_DST_method	lincomycin_MIC	lincomycin_RIS	lincomycin_DST_method	tylosin_MIC	tylosin_RIS	tylosin_DST_method	moxifloxacin_MIC	moxifloxacin_RIS	moxifloxacin_DST_method	cefazolin_MIC	cefazolin_RIS	cefazolin_DST_method	cefuroxime_MIC	cefuroxime_DST_method	fosfomycin_MIC	fosfomycin_DST_method	ceftazidime_MIC	ceftazidime_RIS	ceftazidime_DST_method	ofloxacin_MIC	ofloxacin_RIS	ofloxacin_DST_method	azithromycin_RIS	azithromycin_DST_method	amoxicillin-clavulanic acid_MIC	amoxicillin-clavulanic acid_DST_method	eravacycline_MIC	eravacycline_RIS	eravacycline_DST_method	tiamulin_MIC	tiamulin_RIS	tiamulin_DST_method	sulfadimidine_RIS	sulfadimidine_DST_method	fusidic acid_MIC	fusidic acid_RIS	fusidic acid_DST_method	imipenem_MIC	imipenem_RIS	imipenem_DST_method	norfloxacin_MIC	norfloxacin_RIS	norfloxacin_DST_method	piperacillin-tazobactam_MIC	piperacillin-tazobactam_RIS	piperacillin-tazobactam_DST_method	meropenem_MIC	meropenem_RIS	meropenem_DST_method	avilamycin_MIC	avilamycin_DST_method	bacitracin_MIC	bacitracin_DST_method	ceftriaxone_MIC	ceftriaxone_DST_method	minocycline_MIC	minocycline_DST_method	amoxicillin_RIS	cefoxitin_RIS	tobramycin_RIS	lincosamide_MIC	lincosamide_RIS	lincosamide_DST_method
SAMN13999663	ID_5653774	SAMN13999663	NA	zaheer2020	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	R	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk_diffusion_CLSI	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN13999664	ID_6874724	SAMN13999664	NA	zaheer2020	S	disk_diffusion_CLSI	NA	I	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	R	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk_diffusion_CLSI	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN13999665	ID_1186800	SAMN13999665	NA	zaheer2020	S	disk_diffusion_CLSI	NA	I	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	R	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk_diffusion_CLSI	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN13999666	ID_6800162	SAMN13999666	NA	zaheer2020	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	I	disk_diffusion_CLSI	NA	I	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN13999667	ID_7887911	SAMN13999667	NA	zaheer2020	S	disk_diffusion_CLSI	NA	I	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	I	disk_diffusion_CLSI	NA	R	disk_diffusion_CLSI	NA	R	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk_diffusion_CLSI	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN13999668	ID_7246936	SAMN13999668	NA	zaheer2020	S	disk_diffusion_CLSI	NA	I	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	I	disk_diffusion_CLSI	NA	I	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk_diffusion_CLSI	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN13999669	ID_6953684	SAMN13999669	NA	zaheer2020	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	R	disk_diffusion_CLSI	NA	I	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk_diffusion_CLSI	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN13999670	ID_2991147	SAMN13999670	NA	zaheer2020	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	I	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN13999671	ID_5241009	SAMN13999671	NA	zaheer2020	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN13999672	ID_8955285	SAMN13999672	NA	zaheer2020	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	I	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN13999673	ID_4632222	SAMN13999673	NA	zaheer2020	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	I	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk_diffusion_CLSI	NA	I	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN13999674	ID_3564509	SAMN13999674	NA	zaheer2020	S	disk_diffusion_CLSI	NA	I	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	R	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk_diffusion_CLSI	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN13999675	ID_6036258	SAMN13999675	NA	zaheer2020	S	disk_diffusion_CLSI	NA	I	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk_diffusion_CLSI	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN13999676	ID_1535328	SAMN13999676	NA	zaheer2020	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk_diffusion_CLSI	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN13999677	ID_8249593	SAMN13999677	NA	zaheer2020	S	disk_diffusion_CLSI	NA	I	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	I	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN13999678	ID_6684595	SAMN13999678	NA	zaheer2020	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	I	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN13999679	ID_7086560	SAMN13999679	NA	zaheer2020	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	I	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN13999680	ID_3749132	SAMN13999680	NA	zaheer2020	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	R	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk_diffusion_CLSI	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN13999681	ID_5305071	SAMN13999681	NA	zaheer2020	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	R	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk_diffusion_CLSI	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN13999682	ID_3629941	SAMN13999682	NA	zaheer2020	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	I	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN13999683	ID_1720027	SAMN13999683	NA	zaheer2020	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	I	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk_diffusion_CLSI	NA	I	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMN13999684	ID_6757920	SAMN13999684	NA	zaheer2020	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	I	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	S	disk_diffusion_CLSI	NA	S	disk_diffusion_CLSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
